Altitude [m],Mach Number,Air Density [kg/m^3],Pitch Angle [rad],Speed of Sound [m/s],True Airspeed [m/s],Pitch Rate [rad/s],Roll Angle [rad],Roll Rate [rad/s],Yaw Angle [rad],Yaw Rate [rad/s],Angle of Attack [rad]
9143.553794574824,3.2978046308145657e-13,0.45906592915435085,0.0,303.23203219985703,1e-10,0.3490658503988659,0.0,0.17453292519943295,0.0,0.5235987755982988,0.0
9143.553305649872,0.00032247579342719587,0.45906595625978497,0.0034860715091276835,303.2320342991851,0.0977849908531724,0.3490658503988659,0.0017544668975783748,0.17453292519943295,0.005239052504113159,0.5235987755982988,-1.5673102509481542
9143.551838874986,0.0006449515931595353,0.459066037576089,0.006962898001061766,303.23204059716943,0.19556998768016132,0.3490658503988659,0.0035272056488831827,0.17453292519943295,0.010484308526680254,0.5235987755982988,-1.5638333860018676
9143.549394250082,0.000967427402485171,0.45906617310326764,0.010430372723368506,303.23205109381036,0.2933549955399356,0.3490658503988659,0.0053182112473752876,0.17453292519943295,0.015735878482238258,0.5235987755982988,-1.560365806927003
9143.54597177502,0.00128990322619731,0.4590663628413286,0.013888388640049798,303.23206578910856,0.3911400199478461,0.3490658503988659,0.0071274788706337504,0.17453292519943295,0.020993871954502755,0.5235987755982988,-1.5569075856816639
9143.541571449608,0.0016123790690849116,0.45906660679028255,0.01733683842915899,303.2320846830647,0.48892506641795697,0.3490658503988659,0.008955003860825721,0.17453292519943295,0.026258397688815122,0.5235987755982988,-1.5534587935435555
9143.5361932736,0.0019348549359311305,0.4590669049501432,0.020775614480567754,303.23210777568005,0.5867101404625751,0.3490658503988659,0.010800781705005192,0.17453292519943295,0.03152956358428821,0.5235987755982988,-1.5500195009441633
9143.52983724669,0.002257330831511696,0.45906725732092735,0.024204608893886106,303.2321350669558,0.6844952475917582,0.3490658503988659,0.012664808015238803,0.17453292519943295,0.036807476685649994,0.5235987755982988,-1.5465897774481348
9143.52250336852,0.0025798067605932134,0.4590676639026549,0.027623713476537776,303.2321665568935,0.7822803933128012,0.3490658503988659,0.014547078508556948,0.17453292519943295,0.042092243174784674,0.5235987755982988,-1.5431696917510502
9143.514191638676,0.0029022827279313983,0.45906812469534886,0.031032819741993064,303.23220224549493,0.8800655831297005,0.3490658503988659,0.016447588986728573,0.17453292519943295,0.04738396836197092,0.5235987755982988,-1.5397593116814905
9143.504902056691,0.003224758738269236,0.45906863969903516,0.03443181890816149,303.23224213276205,0.9778508225425973,0.3490658503988659,0.018366335315858108,0.17453292519943295,0.052682756676816905,0.5235987755982988,-1.5363587042045788
9143.494634622042,0.003547234796335067,0.4590692089137427,0.03782060189594649,303.2322862186972,1.075636117047197,0.3490658503988659,0.02030331340580314,0.17453292519943295,0.05798871165889208,0.5235987755982988,-1.5329679354262224
9143.48338933415,0.003869710906840604,0.45906983233950366,0.04119905932796444,303.2323345033028,1.1734214721341694,0.3490658503988659,0.022258519189411474,0.17453292519943295,0.06330193594805548,0.5235987755982988,-1.5295870705978
9143.47116619238,0.004192187074478875,0.4590705099763531,0.044567081527430406,303.2323869865816,1.2712068932885239,0.3490658503988659,0.024231948601576396,0.17453292519943295,0.06862253127448081,0.5235987755982988,-1.5262161741211846
9143.457965196045,0.004514663303922091,0.45907124182432923,0.04792455851721304,303.2324436685366,1.3689923859889646,0.3490658503988659,0.026223597558109088,0.17453292519943295,0.07395059844837834,0.5235987755982988,-1.5228553095540613
9143.443786344404,0.004837139599819439,0.4590720278834731,0.05127138001906091,303.2325045491708,1.4667779557072222,0.3490658503988659,0.028233461934427183,0.17453292519943295,0.07928623734941395,0.5235987755982988,-1.5195045396155151
9143.428629636657,0.005159615966794807,0.4590728681538291,0.054607435453002846,303.23256962848785,1.564563607907364,0.3490658503988659,0.03026153754405871,0.17453292519943295,0.0846295469158259,0.5235987755982988,-1.5161639261918733
9143.412495071952,0.005482092409444432,0.45907376263544436,0.057932613936924754,303.2326389064913,1.6623493480450804,0.3490658503988659,0.03230782011696068,0.17453292519943295,0.08998062513323965,0.5235987755982988,-1.5128335303427947
9143.395382649385,0.005804568932334477,0.45907471132836913,0.06124680428632538,303.23271238318506,1.7601351815669521,0.3490658503988659,0.034372305277651824,0.17453292519943295,0.09533956902318165,0.5235987755982988,-1.5095134123075977
9143.377292367992,0.00612704553999853,0.45907571423265675,0.06454989501425362,303.23279005857324,1.8579211139096916,0.3490658503988659,0.036454988523159045,0.17453292519943295,0.10070647463129292,0.5235987755982988,-1.5062036315118235
9143.358224226758,0.0064495222369350316,0.4590767713483635,0.06784177433142988,303.2328719326602,1.9557071504993646,0.3490658503988659,0.03855586520077737,0.17453292519943295,0.10608143701524328,0.5235987755982988,-1.5029042465740257
9143.338178224616,0.00677199902760463,0.4590778826755486,0.07112233014655417,303.2329580054506,2.0534932967505872,0.3490658503988659,0.04067493048564332,0.17453292519943295,0.11146455023234757,0.5235987755982988,-1.4996153153127862
9143.31715436044,0.007094475916427465,0.4590790482142744,0.07439145006680349,303.2330482769492,2.151279558065703,0.3490658503988659,0.042812179358121795,0.17453292519943295,0.1168559073268851,0.5235987755982988,-1.496336894753948
9143.295152633054,0.007416952907780374,0.45908026796460616,0.07764902139852117,303.233142747161,2.249065939833937,0.3490658503988659,0.044967606581006646,0.17453292519943295,0.12225560031712379,0.5235987755982988,-1.493069041138065
9143.272173041225,0.007739430005994021,0.4590815419266122,0.08089493114810087,303.23324141609146,2.346852447430527,0.3490658503988659,0.04714120667653547,0.17453292519943295,0.1276637201820507,0.5235987755982988,-1.4898118099280608
